epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8739,1.77008,10.8659,1.20502,0.00033,0.13889,0.00025,0.00015,1.14844,36.5421,0.89037,5.716e-05,5.716e-05,5.716e-05
2,55.2677,1.64963,9.92276,1.09649,0.00086,0.29861,0.00088,0.00059,1.02286,36.3055,0.76986,0.000127761,0.000127761,0.000127761
3,77.3124,1.43705,9.12865,1.03819,0.00106,0.31944,0.01838,0.01094,0.95614,36.1508,0.71811,0.000197419,0.000197419,0.000197419
4,99.9793,1.48196,7.85926,1.04546,0.00358,0.71558,0.16473,0.05903,0.92593,35.9711,0.68061,0.000266134,0.000266134,0.000266134
5,122.152,1.52146,6.30352,1.00567,0.00354,0.70743,0.2535,0.11214,0.863,35.6948,0.66329,0.000333906,0.000333906,0.000333906
6,144.366,1.59163,7.57675,1.03324,0.00439,0.83832,0.30597,0.15548,0.85852,35.5451,0.65365,0.000400734,0.000400734,0.000400734
7,169.522,1.45124,6.2911,0.99693,0.00518,0.97101,0.44615,0.19453,0.87765,35.351,0.65039,0.00046662,0.00046662,0.00046662
8,191.373,1.33585,5.73939,0.98021,0.00528,0.98551,0.44836,0.23439,0.9144,35.1422,0.65629,0.000531562,0.000531562,0.000531562
9,213.315,1.43823,6.63077,1.05545,0.00529,0.98551,0.48086,0.26134,0.90923,34.8644,0.6597,0.000595561,0.000595561,0.000595561
10,235.156,1.57025,5.88715,1.02458,0.00535,1,0.59905,0.28415,0.91216,34.1475,0.66359,0.000658618,0.000658618,0.000658618
11,257.224,1.50761,5.29479,1.03038,0.00535,1,0.65268,0.32566,0.88917,33.6319,0.6538,0.00072073,0.00072073,0.00072073
12,279.748,1.45156,5.27284,1.05587,0.15825,0.97509,0.74043,0.40719,0.89606,33.1184,0.65497,0.0007819,0.0007819,0.0007819
13,301.98,1.3489,5.1979,1.00411,0.91838,0.19189,0.80706,0.46784,0.88199,32.7486,0.65728,0.000842127,0.000842127,0.000842127
14,324.004,1.4039,4.26116,1.02784,0.91838,0.19189,0.80706,0.46784,0.88199,32.7486,0.65728,0.00090141,0.00090141,0.00090141
15,346.107,1.39635,4.6529,0.99612,0.88167,0.32197,0.85396,0.5154,0.87218,32.7758,0.65489,0.000959751,0.000959751,0.000959751
16,368.222,1.31802,4.44355,1.01562,0.93932,0.30452,0.81688,0.50849,0.87022,31.6812,0.66377,0.00101715,0.00101715,0.00101715
17,390.272,1.29589,4.17835,0.92226,0.89513,0.38651,0.73437,0.46016,0.82424,31.3015,0.66308,0.0010736,0.0010736,0.0010736
18,412.678,1.31371,4.52643,0.98987,0.89513,0.38651,0.73437,0.46016,0.82424,31.3015,0.66308,0.00112911,0.00112911,0.00112911
19,437.475,1.35323,4.45284,0.9736,0.91068,0.40712,0.87834,0.54083,0.82285,31.3564,0.66022,0.00118368,0.00118368,0.00118368
20,461.181,1.29623,4.08415,1.04503,0.91718,0.77527,0.92827,0.56294,0.82905,29.7624,0.65683,0.00123731,0.00123731,0.00123731
21,487.032,1.1706,4.01229,0.96904,0.91718,0.77527,0.92827,0.56294,0.82905,29.7624,0.65683,0.00124037,0.00124037,0.00124037
22,510.65,1.39742,4.66571,1.06139,0.8426,0.76227,0.91942,0.55107,0.90339,29.3246,0.67496,0.00123094,0.00123094,0.00123094
23,533.299,1.24523,3.89171,0.95117,0.83357,0.7629,0.91776,0.59206,0.83918,31.3048,0.66052,0.00122151,0.00122151,0.00122151
24,555.804,1.36628,3.76641,0.98979,0.83357,0.7629,0.91776,0.59206,0.83918,31.3048,0.66052,0.00121208,0.00121208,0.00121208
25,578.145,1.23648,3.88059,0.99308,0.81867,0.94083,0.92578,0.60335,0.81026,32.2863,0.65452,0.00120265,0.00120265,0.00120265
26,601.328,1.15502,3.62363,0.95805,0.81867,0.94083,0.92578,0.60335,0.81026,32.2863,0.65452,0.00119322,0.00119322,0.00119322
27,627.199,1.28738,3.6441,1.02863,0.83268,0.88979,0.91636,0.59835,0.82576,28.7253,0.65984,0.00118378,0.00118378,0.00118378
28,652.856,1.26468,3.71062,1.03016,0.7841,0.85507,0.90334,0.62192,0.84174,36.2733,0.65736,0.00117435,0.00117435,0.00117435
